Hour,SolarEnergy,ChargingRequests
1,104.96714153011233,72.93129488343874
2,105.28170475697709,65.03617089950882
3,119.68665547457122,77.68433147140907
4,134.74976232225498,75.88592905006254
5,123.13929838236251,75.67786524909197
6,128.64612487852042,82.85337093395356
7,151.7333123489704,85.15080904805548
8,147.92784994790725,84.31775801130138
9,139.15275255098405,74.60150815397775
10,152.0846309879398,75.87387846646041
11,144.00375626012723,77.2092925933001
12,145.0915932187226,78.1077427104382
13,152.39170090217308,68.09664731911448
14,130.17071025292344,66.46103558027825
15,130.50594653521532,58.44415453473981
16,139.7316703943073,54.331896218717546
17,132.01630236749563,60.5286239170684
18,141.32508315331935,59.28487458344881
19,124.45899575174906,48.13662533848475
20,114.17431770317684,49.5341687949894
21,137.20699365002062,42.44236590048458
22,114.14347988711312,33.693401648658906
23,110.63458130207104,35.244223843034376
24,89.09214982512152,37.9412367824314
25,91.2165410674921,27.238152299282703
26,91.14992664190686,32.80971844750763
27,72.08882133379852,9.903358818669043
28,81.20647422265162,25.608959476235
29,65.69625838428222,20.940637955080955
30,63.543825995106076,18.542653310187088
31,55.800324050339434,20.56345952447497
32,76.37816827424953,10.767259776379992
33,54.51048206590363,20.7299617246781
34,41.66776585009537,25.239825112135875
35,58.92193642153046,32.94338288794348
36,37.81948531377704,25.498452990171685
37,52.33974519562235,26.974215449605108
38,31.76536557295038,31.77353536198626
39,40.05910895893557,42.40545064586747
40,58.12111594835767,43.235516858629744
41,67.13116314357596,42.856326763082365
42,65.77249861800323,52.06504252028773
43,67.85602272810534,53.98661628908547
44,71.50813091451123,62.28449717635023
45,65.69531633815096,57.738260756520866
46,79.5917878224886,63.21673927815675
47,88.72926452171316,66.23594431135123
48,110.57122226218914,63.89562869493584
